poem_nb|title|text
5|Романтика|крила.
5|Романтика|Аз виждам в бъдещето тез
5|Романтика|орляци
5|Романтика|да пръскат
5|Романтика|дъжд
5|Романтика|от семена.
5|Романтика|И в песните им,
5|Романтика|рукнали
5|Романтика|отгоре,
5|Романтика|да блика
5|Романтика|труд
5|Романтика|и свобода.
5|Романтика|Аз виждам как
5|Романтика|прелитат
5|Романтика|над моретата,
5|Романтика|високо над екваторния пек,
5|Романтика|прелитат над зелените полета
5|Романтика|и над арктическия снег.
5|Романтика|Това е новата романтика,
5|Романтика|която
5|Романтика|се ражда
5|Романтика|и добива своя плът.
5|Романтика|И въплотена в самолетно
5|Романтика|ято,
5|Романтика|обхожда днес
5|Романтика|от край
5|Романтика|до
5|Романтика|край
5|Романтика|светът.
6|Двубой|Ние сплетохме здраво ръце,
6|Двубой|с тебе се счепкахме здраво.
6|Двубой|Кръв капе от мойто сърце,
6|Двубой|грохнал си ти. Тогава? -
6|Двубой|Един ще бъде повален,
6|Двубой|един ще бъде победен -
6|Двубой|и победеният си ти.
6|Двубой|Не вярваш ли? Не те е страх?! -
6|Двубой|но аз пресметнах всеки ход,
6|Двубой|последния кураж събрах
6|Двубой|и ти ще бъдеш победен,
6|Двубой|разкапан, озлобен живот.
6|Двубой|Не почваме сега, нали?
6|Двубой|Двубоят ни е твърде стар.
6|Двубой|Двубоят ни се води с жар
6|Двубой|от дълги дни.
6|Двубой|От дълги дни сме вплели здраво
6|Двубой|ръцете си един във друг.
6|Двубой|И никога не ще забравя
6|Двубой|жестокия ти, груб юмрук.
6|Двубой|Във мината избухна газ.
6|Двубой|И въглещния пласт
6|Двубой|затрупа
6|Двубой|петнадест човека доле.
6|Двубой|Затрупа
6|Двубой|въглещния
6|Двубой|пласт
6|Двубой|петнадесет
6|Двубой|човешки
6|Двубой|трупа.
6|Двубой|Един от тях
6|Двубой|бях
6|Двубой|аз.
6|Двубой|Пред прага на един бордей
6|Двубой|дими
6|Двубой|изпуснат
6|Двубой|пистолет.
6|Двубой|Трупът полека леденей...
6|Двубой|И нито вик,
6|Двубой|и нито шум -
6|Двубой|един куршум
6|Двубой|и после - смет.
6|Двубой|И колко леко...
6|Двубой|И без бой,
6|Двубой|без порив за живот,
6|Двубой|без глас.
6|Двубой|Ти спомняш ли си
6|Двубой|кой бе той?
6|Двубой|Това
6|Двубой|бях
6|Двубой|аз!
6|Двубой|На мокрия паваж
6|Двубой|лежи
6|Двубой|човек, застрелян из засада.
6|Двубой|Небето, заредено с взрив,
6|Двубой|ще падне с трясък
6|Двубой|на площада.
6|Двубой|Човекът, който там
6|Двубой|лежи
6|Двубой|във локва кръв,
6|Двубой|е моят брат
6|Двубой|и в стъклените му очи
6|Двубой|омраза и любов
6|Двубой|горят.
6|Двубой|Извергът,
6|Двубой|мерзкият
6|Двубой|стрелец,
6|Двубой|закри следите си
6|Двубой|завчас.
6|Двубой|Ти спомняш ли си тоз подлец?
6|Двубой|Това бях
6|Двубой|аз.
6|Двубой|Но помниш ли, едно дете умря
6|Двубой|в Париж на барикада.
6|Двубой|Едно дете
6|Двубой|във бой умря
6|Двубой|със кървавата
6|Двубой|ретроградност.
6|Двубой|Във жилите полека-лека
6|Двубой|кръвта изстива
6|Двубой|като щик.
6|Двубой|Ала една усмивка лека
6|Двубой|по устните се плъзва в миг.
6|Двубой|И после устните синеят,
6|Двубой|ала в очите
6|Двубой|жар гори,
6|Двубой|ала очите сякаш пеят:
6|Двубой|Liberte cherie!...
6|Двубой|Един гамен е
6|Двубой|прострелен.
6|Двубой|Лежи скован във смъртен мраз.
6|Двубой|Ти спомняш ли си
6|Двубой|тоз гамен?
6|Двубой|Това бях аз!
6|Двубой|Но помниш ли,
6|Двубой|един мотор
6|Двубой|прониза
6|Двубой|с смях
6|Двубой|и оптимизъм
6|Двубой|мъглите,
6|Двубой|дето птица даже
6|Двубой|не слиза
6|Двубой|в влажния простор
6|Двубой|един мотор с крила, които
6|Двубой|разсичат
6|Двубой|ледната завеса,
6|Двубой|изменят земната орбита
6|Двубой|и с взрив на бензинни пари
6|Двубой|разчистват пътя към прогреса.
6|Двубой|Моторът, който пее горе,
6|Двубой|е труд на моите ръце.
6|Двубой|А тази песен на мотора
6|Двубой|е кръв от моето сърце.
6|Двубой|Човекът, чийто поглед верен
6|Двубой|е вперен
6|Двубой|в нервния компас,
6|Двубой|човекът, който
6|Двубой|влезе в бой
6|Двубой|с мъглите,
6|Двубой|с северния мраз,
6|Двубой|ти спомнях ли си кой
6|Двубой|бе той?
6|Двубой|Това бях
6|Двубой|аз.
6|Двубой|Аз съм тук
6|Двубой|и там. -
6|Двубой|Навред. -
6|Двубой|Един работник от Тексас,
